,Word,Meaning,Secondary_Meaning
1,Abate,"To reduce in intensity, amount, or severity.",To diminish or lessen over time.
2,Aberrant,Deviating from the norm or standard.,Unusual or abnormal in behavior or structure.
3,Abhor,To regard with disgust or hatred.,
4,Abound,To exist in large numbers or quantities.,To be rich or well-supplied with something.
5,Abrasive,Causing damage by grinding or rubbing.,Harsh or insensitive in manner.
6,Abreast,Side by side and facing the same way.,Up to date with the latest information or developments.
7,Abridge,To shorten a text without losing its essence.,To reduce or diminish.
8,Abrogate,"To repeal or do away with a law, right, or formal agreement.",
9,Abscond,To leave hurriedly and secretly to avoid detection or arrest.,
10,Abstruse,Difficult to understand; obscure.,
11,Accentuate,To emphasize or make more noticeable.,
12,Accessible,"Easy to approach, reach, or use.",Open and receptive to ideas or experiences.
13,Acerbic,Sharp and forthright in tone or manner.,Having a sour or bitter taste.
14,Acquiesce,To accept something reluctantly but without protest.,
15,Acquisitive,Eager to acquire wealth or possessions.,
16,Acrimonious,"Angry and bitter, especially in speech or debate.",
17,Activism,The practice of vigorous action or involvement to achieve political or social goals.,
18,Acumen,Keen insight or quickness in understanding and decision-making.,
19,Adept,Highly skilled or proficient.,
20,Admonish,To warn or reprimand someone firmly.,To advise or urge earnestly.
21,Adroit,"Skillful and clever, especially with the hands or mind.",
22,Adulation,Excessive praise or admiration.,
23,Adulterate,To make something impure by adding inferior substances.,
24,Advocate,To support or recommend publicly.,A person who supports a cause or policy.
25,Aesthetic,Relating to beauty or the appreciation of beauty.,
26,Affable,"Friendly, easy to talk to, and approachable.",
27,Affectation,An artificial display of behavior or manner intended to impress.,
28,Aggrandize,"To increase in power, status, or wealth.",To enhance the reputation of someone beyond what is justified.
29,Aghast,"Filled with shock, horror, or amazement.",
30,Alacrity,Cheerful readiness or eagerness.,
31,Alienate,To make someone feel isolated or estranged.,To transfer ownership or rights.
32,Alleviate,To make suffering or a problem less severe.,
33,Allusive,Referring indirectly or implicitly to something.,
34,Aloof,Distant and reserved in manner or behavior.,Physically distant or apart.
35,Altruistic,Unselfishly concerned for the well-being of others.,
36,Ambiguity,The quality of being open to more than one interpretation.,
37,Ambivalent,Having mixed feelings or contradictory ideas about something or someone.,
38,Ameliorate,To improve or make something better.,
39,Amenable,Open to suggestion or willing to comply.,
40,Amend,To make changes to a document or text to improve it.,To modify or revise something.
41,Amiable,Friendly and pleasant in manner.,
42,Amicable,Characterized by friendliness and a lack of conflict.,
43,Amorphous,Lacking a definite form or clear structure.,
44,Anachronism,Something that is out of place in terms of time or chronology.,
45,Analogous,"Comparable in certain respects, typically to clarify.",
46,Anecdote,"A short, amusing, or interesting story about a real incident or person.",
47,Anoint,"To smear or rub with oil, typically as part of a religious ceremony.",To choose or designate someone for a role or position.
48,Anomaly,Something that deviates from the standard or norm.,
49,Antagonize,To provoke hostility or opposition.,
50,Antedate,To precede in time.,To assign an earlier date to an event or document.
51,Antipathy,A strong feeling of dislike or aversion.,
52,Antithesis,A direct opposite or contrast.,A rhetorical device that juxtaposes contrasting ideas in balanced phrases.
53,Apathy,"Lack of interest, enthusiasm, or concern.",
54,Aphorism,A concise statement expressing a general truth or principle.,
55,Aplomb,"Self-confidence or assurance, especially in a demanding situation.",
